Senser01,Senser02,Senser03,Senser04
2348,206,-350,0
2356,208,-385,0
2364,209,-417,0
2373,210,-452,0
2381,212,-488,0
2389,219,-523,0
2397,223,-559,0
2406,228,-596,0
2414,231,-631,0
2422,239,-666,0
2429,246,-699,0
2437,250,-730,0
2444,260,-764,0
2452,269,-794,0
2459,281,-826,0
2466,292,-857,0
2473,310,-888,0
2481,330,-923,0
2489,351,-960,0
2497,373,-995,0
2506,399,-1031,0
2514,424,-1068,0
2522,448,-1101,0
2530,473,-1138,0
2537,503,-1173,0
2545,529,-1208,0
2553,560,-1246,0
2560,588,-1279,0
2567,611,-1309,0
2575,641,-1343,0
2582,670,-1377,0
2590,701,-1411,0
2598,731,-1448,0
2606,767,-1487,0
2614,801,-1522,0
2622,836,-1559,0
2630,871,-1594,0
2638,909,-1631,0
2646,947,-1668,0
2654,986,-1707,0
2663,1024,-1747,0
2671,1061,-1782,0
2679,1098,-1819,0
2686,1130,-1853,0
2694,1167,-1887,0
2702,1201,-1918,0
2709,1236,-1952,0
2718,1274,-1988,0
2726,1311,-2021,0
2734,1349,-2052,0
2741,1387,-2083,0
2749,1426,-2114,0
2758,1464,-2147,0
2766,1502,-2175,0
2774,1540,-2207,0
2782,1579,-2235,0
2790,1616,-2265,0
2798,1651,-2291,0
2806,1689,-2320,0
2814,1729,-2347,0
2822,1769,-2374,0
2830,1809,-2401,0
2838,1847,-2427,0
2846,1886,-2448,0
2854,1927,-2473,0
2862,1967,-2495,0
2870,2008,-2518,0
2878,2048,-2541,0
2887,2089,-2562,0
2895,2128,-2583,0
2902,2167,-2602,0
2910,2205,-2621,0
2918,2242,-2640,0
2926,2280,-2657,0
2934,2313,-2673,0
2941,2351,-2691,0
2949,2390,-2709,0
2958,2429,-2727,0
2965,2468,-2744,0
2974,2506,-2760,0
2982,2545,-2774,0
2990,2583,-2789,0
2998,2620,-2803,0
3006,2659,-2816,0
3014,2692,-2828,0
3022,2731,-2840,0
3030,2769,-2851,0
3038,2806,-2862,0
3046,2841,-2871,0
3054,2878,-2880,0
3062,2912,-2888,0
3070,2949,-2896,0
3078,2986,-2904,0
3086,3020,-2909,0
3094,3055,-2917,0
3102,3090,-2925,0
3110,3126,-2929,0
3118,3160,-2936,0
3126,3192,-2942,0
3134,3228,-2948,0
3141,3261,-2951,0
3148,3290,-2954,0
3156,3326,-2958,0
3164,3358,-2961,0
3172,3390,-2964,0
3180,3426,-2967,0
3188,3461,-2968,0
3196,3491,-2969,0
3204,3527,-2972,0
3212,3561,-2974,0
3221,3591,-2976,0
3229,3627,-2979,0
3237,3659,-2981,0
3245,3689,-2984,0
3253,3721,-2987,0
3261,3750,-2988,0
3269,3784,-2990,0
3277,3812,-2993,0
3285,3846,-2995,0
3293,3873,-2998,0
3301,3906,-3000,0
3309,3934,-3002,0
3317,3967,-3006,0
