Senser01,Senser02,Senser03,Senser04
8015,780,-3397,0
8050,633,-3248,0
8082,507,-3110,0
8112,411,-2969,0
8144,320,-2834,0
8175,245,-2701,0
8207,194,-2559,0
8239,160,-2418,0
8272,144,-2280,0
8302,139,-2145,0
8336,130,-2007,0
8369,123,-1873,0
8400,121,-1755,0
8430,117,-1629,0
8460,113,-1511,0
8491,108,-1388,0
8524,103,-1257,0
8558,101,-1142,0
8589,96,-1030,0
8620,92,-929,0
8650,83,-828,0
8681,81,-730,0
8712,77,-627,0
8746,71,-528,0
8779,63,-433,0
8811,61,-353,0
8842,60,-273,0
8873,56,-191,0
8906,51,-114,0
8938,44,-48,0
8969,42,15,0
9000,39,74,0
9030,33,132,0
9062,26,186,0
9092,22,232,0
9122,21,272,0
9152,19,309,0
9184,17,342,0
9216,16,371,0
9247,14,392,0
9279,13,412,0
9312,12,426,0
9344,12,434,0
9376,12,445,0
9409,12,451,0
9441,11,453,0
9473,11,454,0
9504,11,455,0
9537,11,455,0
9569,11,456,0
9600,11,460,0
9632,11,462,0
9666,11,462,0
9703,11,457,0
9738,11,447,0
9770,11,423,0
9801,11,393,0
9832,11,356,0
9863,11,315,0
9896,11,268,0
9930,11,215,0
9964,9,163,0
9997,6,109,0
10029,3,46,0
10063,2,-22,0
10096,2,-91,0
10128,2,-165,0
10160,2,-241,0
10192,2,-324,0
10223,2,-406,0
10254,2,-492,0
10286,2,-586,0
10317,2,-680,0
10348,2,-784,0
10380,2,-887,0
10410,2,-994,0
10441,1,-1108,0
10473,0,-1225,0
10504,-1,-1340,0
10536,-1,-1464,0
10568,-2,-1590,0
10601,-3,-1720,0
10632,-3,-1848,0
10663,-3,-1973,0
10693,-3,-2099,0
10724,-3,-2227,0
10755,-3,-2365,0
10786,-3,-2505,0
10817,-3,-2645,0
10849,-3,-2787,0
10880,-3,-2926,0
10910,-3,-3060,0
10941,-3,-3202,0
10972,-3,-3350,0
11003,-3,-3494,0
11034,-3,-3644,0
11067,-2,-3785,0
11097,-2,-3910,0
11129,-2,-4021,0
11160,-2,-4126,0
11192,-2,-4226,0
11223,-2,-4324,0
11255,-2,-4417,0
11286,-2,-4498,0
11318,-2,-4567,0
11349,-2,-4630,0
11380,-3,-4689,0
11411,-3,-4739,0
11443,-3,-4771,0
11474,-3,-4793,0
11505,-3,-4808,0
11536,-3,-4824,0
11567,-3,-4833,0
11598,-3,-4841,0
11629,-3,-4849,0
11659,-3,-4859,0
11691,-3,-4868,0
11722,-3,-4879,0
11754,-3,-4887,0
11786,-3,-4899,0
11817,-3,-4909,0
11849,-3,-4917,0
11881,-3,-4925,0
11912,-3,-4928,0
11943,-2,-4928,0
11973,-2,-4928,0
12004,-1,-4928,0
12036,-1,-4930,0
12069,-1,-4938,0
